# symbol	target	kind	note
# Coverage of every mmbasic/src/core.c (try_tok_cmd) and expr.c
# (mmb_try_function) symbol. kind is 'topic' (dedicated docs/help
# page) or 'alias' (its spelling opens the target topic).
# scripts/gap_analysis.py --audit-help fails on a missing entry or an
# alias-only entry whose target is a catch-all catalogue.
ABS	ABS	topic	dedicated topic
ACOS	ACOS	topic	dedicated topic
ACS	ACS	topic	dedicated topic
AFK	AFK	topic	dedicated topic
ARC	ARC	topic	dedicated topic
ARRAY	ARRAY	topic	dedicated topic
ASC	ASC	topic	dedicated topic
ASIN	ASIN	topic	dedicated topic
ASN	ASN	topic	dedicated topic
ATAN	ATAN	topic	dedicated topic
ATAN2	ATAN2	topic	dedicated topic
ATN	ATN	topic	dedicated topic
ATN2	ATN2	topic	dedicated topic
BASE$	BASE$	topic	dedicated topic
BEEP	PLAY	alias	alias of PLAY
BIN$	BIN$	topic	dedicated topic
BIT	BIT	topic	dedicated topic
BITMAP	BITMAP	topic	dedicated topic
BLIT	BLIT	topic	dedicated topic
BOUND	BOUND	topic	dedicated topic
BOX	BOX	topic	dedicated topic
BYTE	BYTE	topic	dedicated topic
CALL	CALL	topic	dedicated topic
CASE	SELECT	alias	alias of SELECT
CAT	CAT	topic	dedicated topic
CHAIN	CHAIN	topic	dedicated topic
CHDIR	CHDIR	topic	dedicated topic
CHOICE	CHOICE	topic	dedicated topic
CHR$	CHR$	topic	dedicated topic
CINT	CINT	topic	dedicated topic
CIRCLE	CIRCLE	topic	dedicated topic
CLEAR	CLEAR	topic	dedicated topic
CLOSE	CLOSE	topic	dedicated topic
CLS	CLS	topic	dedicated topic
COLOR	COLOUR	alias	alias of COLOUR
COLOUR	COLOUR	topic	dedicated topic
COMMON	COMMON	topic	dedicated topic
CONNECT	CONNECT	topic	dedicated topic
CONST	CONST	topic	dedicated topic
CONTINUE	CONTINUE	topic	dedicated topic
CONTINUE DO	CONTINUE	alias	alias of CONTINUE
CONTINUE FOR	CONTINUE	alias	alias of CONTINUE
COPY	COPY	topic	dedicated topic
COS	COS	topic	dedicated topic
CREDITS	CREDITS	topic	dedicated topic
CSRLIN	CSRLIN	topic	dedicated topic
CWD$	CWD$	topic	dedicated topic
DATA	DATA	topic	dedicated topic
DATE$	DATE$	topic	dedicated topic
DATETIME$	DATETIME$	topic	dedicated topic
DAY$	DAY$	topic	dedicated topic
DEC	DEC	topic	dedicated topic
DEG	DEG	topic	dedicated topic
DEL	KILL	alias	alias of KILL
DIM	DIM	topic	dedicated topic
DIR	DIR	topic	dedicated topic
DIR$	DIR$	topic	dedicated topic
DO	DO	topic	dedicated topic
DRIVE	DRIVE	topic	dedicated topic
EDIT	EDIT	topic	dedicated topic
ELSE	IF	alias	alias of IF
ELSEIF	IF	alias	alias of IF
END	END	topic	dedicated topic
END FUNCTION	FUNCTION	alias	alias of FUNCTION
END IF	IF	alias	alias of IF
END SELECT	SELECT	alias	alias of SELECT
END SUB	SUB	alias	alias of SUB
END TYPE	TYPE	alias	alias of TYPE
ENDIF	IF	alias	alias of IF
EOF	EOF	topic	dedicated topic
EPOCH	EPOCH	topic	dedicated topic
ERASE	CLEAR	alias	alias of CLEAR
ERROR	ERROR	topic	dedicated topic
EVAL	EVAL	topic	dedicated topic
EXECUTE	EXECUTE	topic	dedicated topic
EXIT	EXIT	topic	dedicated topic
EXIT DO	EXIT	alias	alias of EXIT
EXIT FOR	EXIT	alias	alias of EXIT
